ipeds_id,academic_year,data_source,tuition_in_state,tuition_out_state,required_fees,tuition_fees_in_state,tuition_fees_out_state,room_board_on_campus,room_board_off_campus,books_supplies,personal_expenses,transportation,has_tuition_data,has_fees_data,data_completeness_score,validation_issues,validation_status
200572,2023-24,IC2023_AY,8514,8514,1000,9514,9514,7280,4336,7280,4336,4336,TRUE,TRUE,100,,clean
200590,2023-24,IC2023_AY,11060,11060,3450,14510,14510,,,5000,3740,4209,TRUE,TRUE,80,,clean
200697,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
200785,2023-24,IC2023_AY,13420,13420,,13420,13420,,,8928,6066,3033,TRUE,FALSE,60,,clean
200800,2023-24,IC2023_AY,12799,12799,1200,13999,13999,11070,3596,10590,3996,3996,TRUE,TRUE,100,,clean
200846,2023-24,IC2023_AY,7699,7699,1200,8899,8899,,,12960,3120,3066,TRUE,TRUE,80,,clean
200873,2023-24,IC2023_AY,6800,6800,800,7600,7600,4000,3012,4050,3620,3620,TRUE,TRUE,100,,clean
201061,2023-24,IC2023_AY,40250,40250,1500,41750,41750,10325,2850,10500,2850,2850,TRUE,TRUE,100,,clean
201104,2023-24,IC2023_AY,28910,28910,912,29822,29822,11960,2596,5500,3728,3728,TRUE,TRUE,100,,clean
201140,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
201177,2023-24,IC2023_AY,19854,19854,1546,21400,21400,,,7456,5182,5182,TRUE,TRUE,80,,clean
201195,2023-24,IC2023_AY,37938,37938,1500,39438,39438,13180,6340,13818,7200,7200,TRUE,TRUE,100,,clean
201283,2023-24,IC2023_AY,4815,4815,1508,6323,6323,,,4606,4922,4922,TRUE,TRUE,80,,clean
201371,2023-24,IC2023_AY,36298,36298,1600,37898,37898,11866,2750,8930,6050,5050,TRUE,TRUE,100,,clean
201432,2023-24,IC2023_AY,6206,6206,640,6846,6846,,,12960,5498,5498,TRUE,TRUE,80,,clean
201441,2023-24,IC2023_AY,14081,14081,640,14721,14721,11784,5194,11610,5742,6340,TRUE,TRUE,100,,clean
201469,2023-24,IC2023_AY,19542,19542,1800,21342,21342,,,3900,1527,1527,TRUE,TRUE,80,,clean
201548,2023-24,IC2023_AY,41788,41788,1800,43588,43588,13446,3142,12092,5868,6384,TRUE,TRUE,100,,clean
201645,2023-24,IC2023_AY,64671,64671,1200,65871,65871,18202,2000,10750,2000,4326,TRUE,TRUE,100,,clean
201654,2023-24,IC2023_AY,36078,36078,1516,37594,37594,9094,2916,9094,2916,2916,TRUE,TRUE,100,,clean
